provider,amount_raw_wei,amount_normalized_18d
0xd38e8dc380a8a033d0a2b4349cf7a5033233624c,946905916719476605359,946.905916719476605359
0xdfe26cea3205c2aaae4b4a0796e97519992800b7,931713453619793215443,931.713453619793215443
0x95c3f3f5f805e604462dfd51fbea5330f5963b35,925163670194707591230,925.16367019470759123
0x28c5ca382b48c3b038ae95912c31d41535023ee2,917985855886049494306,917.985855886049494306
0x63d6f2acbaf6182f4c08881afe9d0c84b4496d9b,916341178437334594606,916.341178437334594606
0x1815494d007994aa8ad34481efb02cda6d885995,915254000000000000000,915.254
0xbcc44956d70536bed17c146a4d9e66261bb701dd,900000000000000000000,900
0x4c653ce31873b3ca333cf8f0deb9b1fbff6ce2b1,900000000000000000000,900
0x3c6b375a555ad29d854c8cff46a38fc109ecabfe,899268771688765735468,899.268771688765735468
0xc8fffeb7bce31e1ef5bb92cf46c51cbadeeeed1e,888602911187009362029,888.602911187009362029
0xcf001a50c6ba7d83d5b83df59486aca10db24d48,887925533949938924579,887.925533949938924579
0x649427f141e8f9dbe9be80983b4ba71dc3bebe8b,879800000000000000000,879.8
0x8dace19fe85e4049be16a8cb010b83be9a7250c5,871336353313398602712,871.336353313398602712
0xd079d2b30939fa21579900a3584898362451fe39,870244034000000000000,870.244034
0x26cbcdf6d33f50b879fad554908e26f806f09787,865697454276421972065,865.697454276421972065
0x120329c5ba625539751b3708b4d679cec841f876,860067203181382849161,860.067203181382849161
0x22a303b38691cf1cebf65b829e0d35685097a15c,855092314379290704986,855.092314379290704986
0xe449898f97a885b57d2d11f35ea26c689f9ebec0,852702234100623347676,852.702234100623347676
0x4035a01c5ddb717ea09d707e1db2ad5f05054b6d,849201654748791568305,849.201654748791568305
0xa6df2f2f47d1087b1ce5718cc38525bdcf207536,848400000000000000000,848.4
0xb094ebe2df434696735380e3301dfe4c3ef6c844,846863770341285420832,846.863770341285420832
0x899bc43d25bd7b6aba3999d02746b0284d88778e,843345308999952406392,843.345308999952406392
0xed05da1a3ed48c2bd08586d6ad8f440f9b7ea8fc,801391062601924227850,801.39106260192422785
0x0d7737386ca13468963038c5193109e27ed4872d,801026654946499832005,801.026654946499832005
