provider,amount_raw_wei,amount_normalized_18d
0xec59aa43989bbb27164d7e89eead7e11e50e51c6,6900824343451061215709,6900.824343451061215709
0x2179aada612e6f6e721679e23b6f81953f2abd1f,6790634021267274991404,6790.634021267274991404
0x82503b5fa297d2fb40d14880a437d2f480602ea4,6684839820992053136881,6684.839820992053136881
0xc4f88fc88cb7bc458a73586a9db110ea05b19877,6664273383353967535629,6664.273383353967535629
0xcf35c00617d942becf021bec64f4673cf23433b4,6653474000000000000000,6653.474
0x5b55b230f13a90a72984175d27d5783f29f124f2,6616558428521446727809,6616.558428521446727809
0x098ddb5f48ad1daa5f691c4b2ad6360e45a22747,6606552138544755399716,6606.552138544755399716
0x4ed8ff9747f15171a2e8647d9d6ea64bbdfc87a0,6598620000000000000000,6598.62
0x2fb09d2fd9e4ca5c0597c6f81cda7ed537469aaa,6590783359081695683715,6590.783359081695683715
0x8fa18b857aa3d0e9ca2f02d08c6bdda279532b05,6561542090989663737480,6561.54209098966373748
0x7cefeba2c42447f4192ac2e497fe606213691ce9,6500000000000000000000,6500
0x2993db31d165c33d848e44a1c26a805ba411d324,6301219172731020825829,6301.219172731020825829
0x13653f89df67c073aee22c420b76a0194aee2b8a,6164399613958355261790,6164.39961395835526179
0xd57b086df589055e8d11a5fe5460dc358f128f2c,6155627044997720648873,6155.627044997720648873
0xabb47dfbb719be3ad4ba32bc5e1016de2d68d602,6054477639490000000000,6054.47763949
0xb85013348d123de545b69a76d65956f4de1d542b,6000000000000000000000,6000
0x6acc871827cee3d66a6572b065a707ea4f42e7f0,6000000000000000000000,6000
0x79ee88ed9a5b58438001392c172eb428bb118ae4,6000000000000000000000,6000
0xb60deee2f9e5020e5f0e05df24f4f0b787272ed6,5958270000000000000000,5958.27
0xa6e97e0bf1dc382b14ac068f964f3efeec8132a4,5945620000000000000000,5945.62
0x307de06ed2b6d62d3c656dbcc78174ebeb125458,5914204317430031767467,5914.204317430031767467
0x7c9c184a3bdeb490a9d8e6b514c74ca073f1dbea,5911796068138376225797,5911.796068138376225797
0x161f6cca0528c2b43c026217e79bcdf8a6f9f6c9,5884383512180197016026,5884.383512180197016026
0xa00c03359fd7a6c2f4a11c56b09fce192f745046,5800000000000000000000,5800
0xf4e02d86920b123dace53780ff593f864aa813e5,5750000000000000000000,5750
